,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
3473, LIBRA ADVISORS LLC ,D," 125,000 ",Master's,D
3716, GORGEOUS ENTERTAINMENT INC ,D," 37,393 ",Bachelor's,D
3839, LAW OFFS OF CYRUS S NALLASETH PLL ,D," 62,000 ",Master's,D
5984, DENHAM WOLF REAL ESTATE SVCS INC ,D," 70,720 ",Master's,D
7082, OBJECUTIVE INC ,D," 55,744 ",Master's,D
8001, MAZE REPRODUCTIVE & SEXUAL HEALTH ,D," 57,077 ",Bachelor's,D
8624, JINPAN INTERNATIONAL USA LIMITED ,D," 67,000 ",Bachelor's,D
9198, CONVERGEX EXECUTION SOLUTIONS LLC ,D," 86,100 ",Master's,D
9706, CLAIRE WEISZ ARCHITECTS DBA WXY A ,D," 62,000 ",Master's,D
9836, WOMENS INTEGRATED NETWORK INC ,D," 99,000 ",Master's,D
1338, NUANCE INDUSTRIES INC ,D," 38,522 ",Master's,D
2415, COGNIZANT TECH SOLNS US CORP ,D," 95,500 ",Bachelor's,D
3765, GLUCKMAN MAYNER ARCHITECTS LLP ,D," 50,000 ",Master's,D
4426, LEADDOG MARKETING GROUP INC ,D," 53,423 ",Bachelor's,D
4760, JUN HE LAW OFFICES LLC ,D," 82,500 ",Professional Degree,D
5522, SHRI VARDHAMAN JEWELS INC ,D,   ,Bachelor's,D
6161, WINKA DUBBELDAM INC DBA ARCHI-TEC ,D," 28,080 ",Master's,D
8419, KGS JEWELS INC ,D," 90,000 ",Bachelor's,D
8452, DAVIDSON DAVIDSON & KAPPEL LLC ,D," 220,000 ",Professional Degree,D
9042, CREATIVE PUBLIC RELATIONS INC ,D," 73,000 ",Bachelor's,D
9884, CAMP GROUP LLC ,D," 43,000 ",Bachelor's,D
0122, LOGICALIS INC ,D," 112,500 ",Bachelor's,D
0989, MICHAEL C FINA CORPORATE SALES IN ,D," 95,000 ",Bachelor's,D
1032, SICHENZIA ROSS FRIEDMAN FERENCE L ,D," 35,880 ",Professional Degree,D
1651, MARATHON LINE NY INC ,D," 35,880 ",Master's,D
1875, LENOX HILL PHARMACY INC ,D," 55,973 ",Master's,D
2822, KAN MANAGEMENT INC ,D," 71,763 ",Master's,D
2859, WENDY EVANS JOSEPH ARCHITECT PC ,D," 60,000 ",Master's,D
2928, KALAVANT CENTER FOR MUSIC & DANCE ,D," 25,555 ",Bachelor's,D
3902, CIPRIANI USA INC AND SUBSIDIARIES ,D," 70,000 ",Bachelor's,D
7297, MISSY FARREN & ASSOCIATES LTD ,D," 66,500 ",Bachelor's,D
8090, DISTINGUISHED PRGMS INSURANCE BRO ,D," 120,000 ",Master's,D
8234, PRICEWATERHOUSECOOPERS LLP ,D," 102,500 ",Master's,D
8342, PRICEWATERHOUSECOOPERS LLP ,D," 115,000 ",Bachelor's,D
8380, ROMAN AND WILLIAMS INC ,D," 90,000 ",Master's,D
9650, MURPHY BURNHAM & BUTTRICK ARCHITE ,D," 49,500 ",Master's,D
9653, MIONETTO USA INC ,D," 100,000 ",Bachelor's,D
1756, ROBERT SILMAN ASSOCIATES PLLC ,D," 60,000 ",Master's,D
1783, HETAL DIAMONDS INC ,D," 60,000 ",Bachelor's,D
2728, MIMEO.COM INC ,D," 136,600 ",Master's,D
8074, VALQUA AMERICA INC ,D," 40,238 ",Master's,D
9079, PASTA RESOURCES INC DBA B&B HOSPI ,D," 75,000 ",Bachelor's,D
9319, MED-ALLIANCE MEDICAL HEALTH SVCS ,D," 70,720 ",Master's,D
0412, B M KIM TAE KWON DO INC ,D," 60,000 ",Bachelor's,D
4851, DESIGNS ON FIFTH LTD ,D," 56,160 ",Bachelor's,D
5150, EVOLUTION 2000 INC ,D," 102,000 ",Bachelor's,D
6466, JOSEPHSON LLC ,D," 130,000 ",Master's,D
7128, CTBC BANK CO LTD ,D," 43,800 ",Master's,D
7251, TPG ARCHITECTURE LLP ,D," 51,000 ",Master's,D
8500, LAMPERT CAPITAL MARKETS INC ,D," 44,563 ",Bachelor's,D
0020, 242 PARTNERS LP DBA JAMES COHAN G ,D," 50,000 ",Master's,D
0034, PURDUE PHARMACEUTICALS LP ,D," 122,400 ",Bachelor's,D
1570, FTSE AMERICAS INC ,D," 123,000 ",Doctorate,D
5482, EUROPEAN AMERICAN BUS ORG INC ,D," 40,700 ",Master's,D
6607, OAK HILL CAPITAL MGMT INC ,D," 150,000 ",Master's,D
6798, HUMANA AT HOME INC ,D," 110,000 ",Master's,D
6836, GMP SECURITIES LLC ,D," 1,022,408 ",Bachelor's,D
7172, ALEXANDER S ONASSIS PUBLIC BENEFI ,D," 53,000 ",Master's,D
7716, KISO AND TANAKA LLP ,D," 64,000 ",Bachelor's,D
7954, ENVIRONMENTAL ENGRG SOLUTIONS PC ,D," 65,000 ",Master's,D
0405, P MORRISSEY CONTRACTING INC ,D," 47,921 ",Bachelor's,D
1213, BAMBOO TECHNOLOGIES INC ,D," 47,029 ",Master's,D
5007, CHOPT CREATIVE SALAD COMPANY LLC ,D," 65,000 ",Bachelor's,D
5673, AXA INVESTMENT MANAGERS INC ,D," 150,000 ",Bachelor's,D
6592, NWI MANAGEMENT LP ,D," 112,029 ",Master's,D
6909, FOOD INGREDIENT SOLUTIONS LLC ,D," 92,000 ",Doctorate,D
0460, AEA CONSULTING LLC ,D," 24,960 ",Professional Degree,D
1566, X-TREME CARE LLC ,D," 31,200 ",Bachelor's,D
3674, HOGG ROBINSON USA LLC ,D," 49,684 ",Bachelor's,D
4539, MICHAEL NEUMANN ARCHITECTURE LLC/ ,D," 45,000 ",Bachelor's,D
4652, TROLLBACK AND COMPANY INC ,D," 45,000 ",Bachelor's,D
7606, SOLAR REALITY MANAGEMENT CORP ,D," 55,000 ",Bachelor's,D
8616, VISCOGLIOSI BROTHERS LLC ,D," 185,000 ",Bachelor's,D
8864, PRO SAFETY SERVICES LLC ,D," 66,000 ",Master's,D
9052, DANA MICHELE LLC ,D," 32,864 ",Bachelor's,D
9897, MONTCLARE CHILDRENS SCHOOL LLC ,D," 112,700 ",Master's,D
9960, LUCENT JEWELERS INC ,D," 72,000 ",Bachelor's,D
3533, VAN WAGNER SPORTS & ENTERTAINMENT ,D," 70,000 ",Bachelor's,D
4184, CONCORD FINANCIAL TECHNOLOGIES IN ,D," 91,142 ",Master's,D
4414, SCHRODER INVESTMENT MGT N AMERICA ,D," 120,000 ",Master's,D
6229, CROSS COUNTRY HEALTHCARE INC ,D," 137,330 ",Bachelor's,D
6624, TRADINGSCREEN INC ,D," 75,000 ",Master's,D
7164, PETER THOMAS ROTH LABS LLC ,D," 60,000 ",Master's,D
7390, METRO PROPERTY GR LLC DBA HOULIHA ,D," 56,500 ",Bachelor's,D
7484, DYNTEK SERVICES INC ,D," 135,000 ",Bachelor's,D
7691, CHIPS TECHNOLOGY GROUP INC ,D," 53,601 ",Master's,D
7795, COMPUTER SOLUTIONS INC DBA COSTRA ,D," 53,000 ",Master's,D
9631, ESPOC INC ,D," 64,200 ",Master's,D
1556, GALAXY COLOR INC ,D," 56,000 ",Bachelor's,D
1665, SOMETHINGDIGITAL.COM LLC ,D," 86,700 ",Master's,D
1960, PRINCIPLE MCD INC ,D," 67,500 ",Bachelor's,D
3844, AG CONSULTING ENGINEERING PC ,D," 80,000 ",Master's,D
4842, UNCOMMONGOODS LLC ,D," 83,000 ",Bachelor's,D
5779, BLACKSMITH INSTITUTE INC D/B/A PU ,D," 80,000 ",Doctorate,D
5927, THERADYNAMICS PHYSICAL REHABILITA ,D," 66,539 ",Bachelor's,D
6379, SIGNATURE FLEXIBLE PACKAGING INC ,D," 57,551 ",Master's,D
6791, KON WAH INC ,D," 24,929 ",Bachelor's,D
8370, LYNCH EISINGER DESIGN ARCH LLP DB ,D," 42,500 ",Master's,D
8810, FIVE MYLES INC ,D," 37,180 ",Master's,D
5665, TARTE INC ,D," 95,000 ",Bachelor's,D
7002, SONENSHINE PARTNERS LLC ,D," 75,000 ",Bachelor's,D
0184, CITYS PROPERTY DEVELOPMENT CORP ,D," 65,000 ",Bachelor's,D
0420, GIVEANYTHING.COM INC ,D," 75,000 ",Master's,D
0638, APARTNERSHIP INC ,D," 41,200 ",Master's,D
2006, SOPEXA/FOOD & WINES FROM FRANCE ,D," 90,000 ",Master's,D
2441, COURT ALERT INC ,D," 110,000 ",Master's,D
2524, JOSEPHSON LUXENBERG KANCE DOLINGE ,D," 80,000 ",Master's,D
3181, TABLET INC ,D," 80,000 ",Bachelor's,D
3945, SCHIMENTI CONSTRUCTION COMPANY ,D," 85,000 ",Bachelor's,D
4480, FLATIRON REAL ESTATE ADVISORS LLC ,D," 96,346 ",Bachelor's,D
4742, UNIVERSUM COMMUNICATIONS INC ,D," 50,000 ",Bachelor's,D
5251, FUSION PUBLIC RELATIONS INC ,D," 41,000 ",Bachelor's,D
5916, MICHEL MADIE REAL ESTATE SVCS COR ,D," 57,678 ",Master's,D
7575, MARIKO MORI STUDIO INC ,D," 36,566 ",Bachelor's,D
9534, TIME WARNER INC ,D," 450,000 ",Bachelor's,D
9675, VIDRIO FINANCIAL LLC ,D," 55,000 ",Master's,D
0910, LESTER S CAESAR & CO CPA ,D," 77,000 ",Bachelor's,D
3207, LGM CONSULTANTS ENGRG SVCS PLLC ,D," 63,752 ",Master's,D
4287, KKR CAPSTONE AMERICAS LLC ,D," 170,000 ",Bachelor's,D
4637, GAMELOFT INC ,D," 66,000 ",Master's,D
4823, FRANKLIN REPORT LLC ,D," 27,986 ",Bachelor's,D
7756, NY DRUGS INC DBA CASTLE HILL COMM ,D," 56,971 ",Master's,D
9499, MORNINGSIDE TRANSLATIONS INC ,D," 50,000 ",Master's,D
0571, SBV PHARMACY CORP DBA MARCIA PHAR ,D," 35,100 ",Master's,D
0680, GFINET INC ,D," 70,000 ",Bachelor's,D
1597, CROSSMEDIA INC ,D," 93,310 ",Bachelor's,D
2257, DOMINICK R PILLA ARCHITECTURE-ENG ,D," 63,752 ",Master's,D
2491, OVERSEAS MEDIA PRODUCTIONS INC ,D," 46,000 ",Professional Degree,D
2772, GLEN COBEN ARCHITECTURE & DESIGN ,D," 48,000 ",Master's,D
3323, BREAN CAPITAL LLC ,D," 65,000 ",Bachelor's,D
3338, NANES DELORME CAPITAL MGT LLC ,D," 75,000 ",Bachelor's,D
4560, KEL-MAR INTERIORS INC ,D," 105,000 ",Bachelor's,D
5686, METROPLUS HEALTH PLAN ,D," 90,000 ",Master's,D
6482, CLINILABS ,D," 50,000 ",Master's,D
6689, BLUE MEDIUM INC ,D," 50,000 ",Master's,D
6981, TATA INTERACTIVE SYSTEMS USA ,D," 76,500 ",Bachelor's,D
8370, VOSS USA INC ,D," 64,214 ",Master's,D
8702, LADY LAKE NH LLC DBA LADY LAKE SP ,D," 90,896 ",Doctorate,D
8707, GREENBROOK NH LLC ,D," 78,915 ",Bachelor's,D
8850, GOLDENTREE ASSET MANAGEMENT LP ,D," 185,000 ",Bachelor's,D
8892, PARTNERS GROUP USA INC ,D," 116,000 ",Bachelor's,D
9129, MILAAYA INC DBA MILAAYA EMBROIDER ,D," 44,450 ",Bachelor's,D
9463, TETHYS TECHNOLOGY INC ,D," 110,000 ",Master's,D
9584, MANHATTAN MEDICAL HEALTHCARE PC ,D," 45,448 ",Master's,D
9995, KURARAY AMERICA INC ,D," 107,500 ",Master's,D
0052, OBRA ARCHITECT PC ,D," 34,918 ",Master's,D
0766, EUGENIA KIM INC ,D," 58,000 ",Master's,D
1464, CHINASPROUT INC ,D," 42,300 ",Master's,D
1524, D E SHAW RESEARCH LLC ,D," 240,000 ",Bachelor's,D
2207, VIEWTRADE SECURITIES INC ,D," 21,382 ",Bachelor's,D
2485, FREYSSINET INC ,D," 61,090 ",Master's,D
3120, SID COMPUTER GROUP INC ,D," 91,904 ",Bachelor's,D
3235, BEACON CONSULTING GROUP INC ,D," 70,000 ",Bachelor's,D
3544, BROADSTROKES INC ,D," 70,366 ",Master's,D
3698, 3G CAPITAL INC ,D," 300,000 ",Master's,D
3990, DAGHER ENGINEERING PLLC ,D," 66,000 ",Bachelor's,D
6466, DIGITAL EVOLUTION INC ,D," 60,000 ",Bachelor's,D
7112, INVENTA GROUP INC ,D," 60,000 ",High School,D
8322, PLUM GROUP INC D/B/A PLUM VOICE ,D," 60,000 ",Master's,D
8428, PINCI AND ASSOCIATES PLLC ,D," 26,000 ",Master's,D
8928, EOS JEWELRY INTERNATIONAL LLC ,D," 51,272 ",Master's,D
9457, DONORSCHOOSE.ORG ,D," 62,000 ",Bachelor's,D
9866, APOGEE DESIGN & CONSTRUCTION INC ,D," 75,000 ",Bachelor's,D
9868, SZT LLC DBA HOUSE OF TOI ,D," 37,960 ",Bachelor's,D
9879, FERRANTE PLLC ,D," 39,979 ",Bachelor's,D
9979, 75 BURNSIDE DRUG & SURGICAL INC ,D," 72,301 ",Bachelor's,D
0792, INP NORTH AMERICA INC ,D," 80,000 ",Master's,D
1013, MICHAEL G FAHEY ARCHITECT PC ,D," 52,000 ",Master's,D
1175, COLSPACE CORPORATION ,D," 75,000 ",Bachelor's,D
4036, ADVISEN LTD ,D," 65,000 ",Bachelor's,D
4543, MTS LOGISTICS INC ,D," 51,400 ",Bachelor's,D
5415, BRIDGE METAL INDUSTRIES LLC ,D," 72,500 ",Master's,D
8913, MLB ADVANCED MEDIA LP ,D," 81,426 ",Master's,D
9533, IN MOCEAN GROUP LLC ,D," 54,600 ",Bachelor's,D
0131, CLS BANK INTERNATIONAL ,D," 130,000 ",Master's,D
1780, SCIVANTAGE INC ,D," 85,500 ",Bachelor's,D
3895, PATRICIA SPENCER DESIGN INC ,D," 75,000 ",Master's,D
4013, BYRD HOFFMAN WATER MILL FDN INC ,D," 100,000 ",Master's,D
4053, SMARTANALYST INC ,D," 94,000 ",Doctorate,D
7178, ARETE EDUCATIONAL CONSULTING ,D," 58,344 ",Bachelor's,D
7793, GOLDEN TOO CO INC ,D," 50,494 ",Bachelor's,D
7800, PVH WHOLESALE CORPORATION ,D," 149,558 ",Bachelor's,D
8351, CHEAPCARIBBEAN.COM INC ,D," 110,000 ",Master's,D
8445, HEDGEOP COMPLIANCE LLC DBA CORDIU ,D," 81,165 ",Bachelor's,D
8562, WASSERSTEIN & CO LP ,D," 70,000 ",Bachelor's,D
9226, TASTINGS INC ,D," 68,000 ",Bachelor's,D
9678, GIG-WERKS LLC ,D," 75,000 ",Master's,D
2841, BROOKER ENGINEERING PLLC ,D," 90,480 ",Master's,D
3022, REAL CAPITAL ANALYTICS ,D," 145,000 ",Master's,D
4160, STAR DIMON INC ,D," 75,075 ",Bachelor's,D
7903, NHEGA LLC ,D," 46,254 ",Bachelor's,D
8698, CHARDAN CAPITAL MARKETS LLC ,D," 65,187 ",Bachelor's,D
0541, OFI GLOBAL INSTITUTIONAL INC DBA ,D," 90,000 ",Master's,D
0667, ISO CLAIMS SERVICES INC ,D," 72,000 ",Master's,D
1645, OFFICE SEKKEI AMERICA INC ,D,   ,Bachelor's,D
3060, QUEST PARTNERS LLC ,D," 72,000 ",Master's,D
3871, PRN PHYSICAL THERAPY/ROGER BERKLE ,D," 74,880 ",Master's,D
6228, ACUMEN FUND INC ,D," 70,000 ",Bachelor's,D
7155, WITNESS INC ,D," 55,370 ",Master's,D
7849, AFFILIATES RISK MGT SVCS INC ,D," 77,000 ",Master's,D
8910, ADVENT CAPITAL MANAGEMENT LLC ,D," 125,000 ",Master's,D
9650, H N W INDUSTRY INC ,D," 27,937 ",Bachelor's,D
4067, CENTRAL BUSINESS SOLUTIONS INC ,D," 150,000 ",Bachelor's,D
4139, FRAGRANCEX COM INC ,D," 105,000 ",Bachelor's,D
4217, ACCUMULUS CAPITAL MANAGEMENT LLC ,D," 180,000 ",Bachelor's,D
4270, S&P YARD INC ,D," 150,000 ",Bachelor's,D
4402, FDN FOR DEFENSE OF DEMOCRACIES IN ,D," 115,000 ",Doctorate,D
5517, UNIVERSAL FORCE INC DBA NAAM YOGA ,D," 65,000 ",Bachelor's,D
6094, BLUEFIN TRADING LLC ,D," 100,000 ",Master's,D
6208, FUZZ PRODUCTIONS LLC ,D," 85,000 ",Master's,D
7075, OWL CREEK ASSET MANAGEMENT LP ,D," 215,000 ",Bachelor's,D
0289, STAR GEMS & BEADS INC ,D," 28,080 ",Bachelor's,D
1570, M&M PEST CONTROL INC ,D," 52,000 ",Master's,D
1600, DEVRIES PUBLIC RELATIONS LTD ,D," 112,000 ",Bachelor's,D
2116, THERAPEUTIC INSPIRATIONS ,D," 73,000 ",Master's,D
4504, INTHINGS CORPORATION ,D," 55,370 ",Master's,D
5688, NAQVI-VAN NESS ASSET MGT LLC ,D," 84,000 ",Master's,D
5887, LOISAIDA RX INC DBA LOISAIDA DRUG ,D," 58,531 ",Master's,D
7205, GOTHAM TECHNOLOGY GROUP LLC ,D," 51,000 ",Master's,D
7356, SK USA INC ,D," 65,187 ",Master's,D
0270, MESOBLAST INC ,D," 160,000 ",Doctorate,D
1563, METALLICA COMMODITIES CORP ,D," 95,200 ",Bachelor's,D
1777, INFINITY CONSULTING SOLUTIONS INC ,D," 228,800 ",Bachelor's,D
2129, DUKE ACUPUNCTURE PC ,D," 54,413 ",Professional Degree,D
3161, ARCHEGOS CAPITAL MANAGEMENT LP ,D," 120,000 ",Master's,D
3723, IPVALUE MGMT INC ,D," 117,000 ",Doctorate,D
4623, SILVERCREST ASSET MGT GROUP ,D," 44,500 ",Master's,D
5975, KOCH GROUP & COMPANY LLP ,D," 47,993 ",Master's,D
6413, MAS DESIGN INC ,D," 61,818 ",Master's,D
9006, OPENING CEREMONY LLC ,D," 70,000 ",Bachelor's,D
1273, TOWERDATA INC ,D," 85,000 ",Bachelor's,D
1809, ONE MODEL MANAGEMENT LLC ,D," 52,000 ",High School,D
5269, THE URGENT CARE WESTBANK ,D," 32,240 ",Master's,D
7846, SHIRO TECHNOLOGIES LLC ,D," 65,042 ",Bachelor's,D
0211, NEWMAN MORAN LLC DBA CO-OP BRANDI ,D," 65,000 ",Bachelor's,D
1521, MEDPHYS CONSULTING ,D," 123,000 ",Master's,D
3068, SAFECO DOOR & HARDWARE INC ,D," 59,760 ",Master's,D
5569, PICOSYS INC DBA INVENIOS ,D," 70,000 ",Bachelor's,D
5868, BAMM INC ,D," 91,395 ",Bachelor's,D
7623, WORLD SERVICES GROUP INC ,D," 136,425 ",Master's,D
9818, THOMAS PUBLISHING COMPANY LLC ,D," 110,000 ",Bachelor's,D
9978, STUDIO 65 LLC ,D," 45,000 ",Bachelor's,D
3948, CEA ASSOCIATES LLC ,D," 65,000 ",Master's,D
5244, GARNIER THIEBAUT INC ,D," 40,000 ",Bachelor's,D
6274, WIELAND COPPER PRODUCTS LLC ,D," 70,000 ",Master's,D
7034, SA HOSPITALITY GROUP LLC ,D," 55,370 ",Bachelor's,D
9723, LUMASENSE TECHNOLOGIES INC ,D," 106,000 ",Master's,D
0138, OM TRADING INC DBA OM PRODUCE ,D," 62,000 ",Master's,D
0752, WORLDBUSINESS CAPITAL INC ,D," 110,000 ",Master's,D
7689, OPTICA TECHNOLOGIES INC ,D," 98,000 ",Some College Credits,D
0545, KISKA CONSTRUCTION INC ,D," 83,400 ",Master's,D
2170, MARKET Q INC ,D," 72,000 ",Master's,D
5974, CYCLING SPORTS GROUP INC ,D," 110,000 ",Bachelor's,D
8335, CONSILIENCE SOFTWARE INC ,D," 75,000 ",Master's,D
1830, SAGAR INC ,D," 81,058 ",Bachelor's,D
5012, LIVI S HOME HEALTHCARE INC ,D," 59,000 ",Master's,D
9901, PACIFIC NEUROPHYSIOLOGICAL SYSTEM ,D," 70,000 ",Bachelor's,D
1131, TERRACYCLE INC ,D," 61,485 ",Master's,D
2866, DILIGENT SOLUTIONS INC ,D," 75,338 ",Bachelor's,D
3043, INTELLIGENT LIGHTING DISTRIBUTION ,D," 70,000 ",Master's,D
3951, SUNLAND ACADEMIES INC DBA NEWPORT ,D," 43,050 ",Bachelor's,D
1306, PARADYME MANAGEMENT INC ,D," 68,000 ",Bachelor's,D
1875, WARNER MUSIC GROUP CORP ,D," 150,000 ",Bachelor's,D
3431, GEOSCIENCE ENGRG & TESTING N TX D ,D," 43,000 ",Bachelor's,D
9405, SHOP LOCAL LLC ,D," 103,626 ",Master's,D
0931, HEALTHPRO NURSING SOLNS LLC DBA P ,D," 64,480 ",Bachelor's,D
2837, DR RATH RESEARCH INSTITUTE B V ,D," 45,000 ",Master's,D
3389, INTERNATIONAL SCHOOL OF BROOKLYN ,D," 71,458 ",Bachelor's,D
4776, RAB SECURITY LLC ,D," 29,627 ",Master's,D
4288, PERMIAN PREMIER HEALTH SVCS ,D," 250,000 ",Professional Degree,D
4543, ENLIGHTENED HOMES LLC DBA ENLIGHT ,D," 130,000 ",Master's,D
9652, SURFMYADS COM INC ,D," 69,576 ",Bachelor's,D
0330, AISHA HOLDING CORPORATION ,D," 36,525 ",Master's,D
2576, KALTECH SOLUTIONS LLC ,D," 60,000 ",Master's,D
4302, GARDEN AND HOUSE IMPROVEMENT INC ,D," 38,459 ",Bachelor's,D
8324, PRICEWATERHOUSECOOPERS LLP ,D," 55,500 ",Master's,D
7984, BLOOMBERG LP ,D," 105,000 ",Master's,D
2190, BARCLAYS BANK PLC ,D," 180,000 ",Master's,D
4710, ATT CORP ,D," 112,416 ",Bachelor's,D
4630, OOCL USA INC ,D," 46,035 ",Bachelor's,D
0180, CERTIFIED LABORATORIES INC ,D," 46,000 ",Master's,D
4650, ST VINCENT FERRER SCHOOL ,D," 70,085 ",Bachelor's,D
2070, USTA EASTERN ,D," 50,000 ",Master's,D
2245, EMIGRANT BANK INC ,D," 40,000 ",Master's,D
0832, THE BANK OF NEW YORK MELLON ,D," 90,000 ",Doctorate,D
9583, SCOTIA CAPITAL USA INC ,D," 135,000 ",Master's,D
6147, CITIBANK NA ,D," 95,000 ",Bachelor's,D
3020, ICE CLEAR U S INC ,D," 65,000 ",Master's,D
4360, NEW YORK MERCANTILE EXCHANGE INC ,D," 128,406 ",Master's,D
5107, KELLEY DRYE & WARREN LLP ,D," 150,000 ",Professional Degree,D
9950, PANALPINA INC ,D," 112,000 ",Master's,D
1294, ROLAND FOODS LLC ,D," 130,000 ",Bachelor's,D
9420, UNITED STATES TENNIS ASSOC INC ,D," 75,000 ",Bachelor's,D
4085, MERRILL LYNCH ,D," 90,000 ",Bachelor's,D
9787, STROOCK & STROOCK & LAVAN LLP ,D," 210,000 ",Master's,D
2354, UNIVERSITY SETTLEMENT ,D," 55,000 ",Master's,D
2383, AMERICAN NUMISMATIC SOCIETY ,D," 46,800 ",Doctorate,D
3422, CATHOLIC RELIEF SERVICES ,D," 58,700 ",Master's,D
5089, GENERAL BOARD OF GLOBAL MINISTRIE ,D," 57,222 ",Master's,D
8364, SCHOOL OF VISUAL ARTS ,D,   ,Bachelor's,D
3206, HAHN & HESSEN LLP ,D," 180,000 ",Professional Degree,D
6742, AFS INTERCULTURAL PROGRAMS INC ,D," 176,900 ",Master's,D
6781, ISRAEL DISCOUNT BANK OF NEW YORK ,D," 114,238 ",Master's,D
8710, GOOD SHEPHERD SVCS ,D," 115,000 ",Professional Degree,D
0423, STATEN ISLAND ACADEMY ,D," 55,790 ",Master's,D
8297, JOHN N FEHLINGER CO ,D," 62,400 ",Bachelor's,D
3797, AMERICAN HEART ASSOCIATION INC ,D," 141,100 ",Bachelor's,D
4394, MANE INC ,D," 96,590 ",Bachelor's,D
8284, EVELYN HILL INC ,D," 54,990 ",Bachelor's,D
8475, ZIONIST ORGANIZATION OF AMERICA ,D," 30,134 ",Bachelor's,D
0301, MITSUBISHI INTERNATIONAL CORP ,D," 107,635 ",Master's,D
0895, TIMET A PCC COMPANY ,D," 123,964 ",Bachelor's,D
9689, AMERICAN YOUTH HOSTELS INC DBA HO ,D," 132,934 ",Bachelor's,D
1852, VACAMAS PRGMS FOR YOUTH OF NEW JE ,D," 29,993 ",Bachelor's,D
2193, SUMMIT IMPORT CORPORATION ,D," 48,000 ",Master's,D
1832, PLAN INTERNATIONAL USA ,D," 54,631 ",Master's,D
5861, LONZA INC ,D," 103,540 ",Bachelor's,D
9201, PUBLIC HEALTH SOLUTIONS ,D," 62,820 ",Master's,D
6811, HERTZ HERSON LLP ,D," 55,370 ",Master's,D
3018, ASSOC OF THE BAR OF THE CITY OF N ,D," 40,000 ",Master's,D
6045, PELHAM UNION FREE SCH DIST ,D," 32,163 ",Master's,D
3471, THE HARRY FRANK GUGGENHEIM FDN ,D," 50,000 ",Master's,D
4431, HATCH ASSOCIATES CONSULTANTS INC ,D," 90,000 ",Master's,D
2659, AMERICAN MUSEUM OF NATURAL HISTOR ,D," 95,680 ",Bachelor's,D
9596, CULTURAL VISTAS INC ,D," 53,560 ",Master's,D
2532, SI-YO MUSIC SOCIETY FOUNDATION IN ,D," 45,000 ",Master's,D
4790, ASPIRA OF NEW YORK INC ,D," 36,000 ",Master's,D
3516, AMERICAN CIVIL LIBERTIES UN FDN ,D," 86,079 ",Professional Degree,D
0979, FEDERAL HOME LOAN BANKS-OFF OF FI ,D," 111,984 ",Bachelor's,D
8398, ROBERTSON FOUNDATION ,D," 500,000 ",Master's,D
5018, FREUDENBERG HOUSEHOLD PRODUCTS LP ,D," 101,793 ",Master's,D
3659, CLARKSON UNIV ,D," 69,500 ",Doctorate,D
9364, GENERAL ELECTRIC CO ,D," 140,000 ",Master's,D
6635, GLENS FALLS NATL BANK & TRUST CO ,D," 45,000 ",Master's,D
8934, GEN ELECTRIC COMP GE GLOBAL RESEA ,D," 105,000 ",Doctorate,D
8371, THE COLLEGE OF SAINT ROSE ,D," 68,500 ",Doctorate,D
8428, ELLIS HOSPITAL DBA ELLIS MEDICINE ,D," 65,000 ",Professional Degree,D
8465, NATHAN LITTAUER HOSP & NURSING HO ,D," 52,603 ",Bachelor's,D
8498, SIENA COLLEGE ,D," 48,270 ",Master's,D
8692, ST PETER S HOSPITAL OF THE CITY O ,D," 225,000 ",Professional Degree,D
8164, 1ST BAPTIST CHURCH OF POUGHKEEPSI ,D," 64,189 ",Master's,D
1413, TRUDEAU INST INC ,D," 70,000 ",Doctorate,D
3770," MILLBROOK SCHOOL, INC. ",D," 42,000 ",Bachelor's,D
2506, THE FAMILY ROSARY INC ,D," 39,000 ",Bachelor's,D
9595, KOLMAR LABORATORIES INC ,D," 60,000 ",Bachelor's,D
2493, MARIST COLLEGE ,D," 49,173 ",Master's,D
8339, MT ST MARY COLLEGE ,D," 58,559 ",Master's,D
2907, NORTHERN ADIRONDACK CENTRAL SCHOO ,D," 15,951 ",Master's,D
3238, LOCAL MEDIA GROUP INC ,D," 35,997 ",Master's,D
6132, ADIRONDACK SENIC INC DBA ADIRONDA ,D," 80,000 ",Bachelor's,D
4593, JACKSON DEMOLITION SERVICE INC ,D," 67,731 ",Bachelor's,D
1838, BALI LEATHERS INC DBA US GLOVE CO ,D," 68,578 ",Bachelor's,D
6222, HOMETOWN HEALTH CENTERS ,D," 175,000 ",Professional Degree,D
2346, SELUX CORPORATION ,D," 252,000 ",Bachelor's,D
9859, TEAMWORLD INC ,D," 70,000 ",Master's,D
